tenantId,fullName,fatherName,dateOfBirth,phone,email,idType,idNumber,emergencyContactName,emergencyContactRelation,emergencyContactPhone,monthlyRent,rentPaid,paidOnDate,nextDueDate,billingCycle,createdAt,updatedAt,hostelId,hostelName,floorNumber,roomNumber,sharingType,bedId,bedLabel,paymentMethod,txnId
T10001,First1 Last1,Father 1,1995-05-02,9870000001,tenant1@example.test,aadhar,ID500001,EC 1,father,9760000001,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-01,Hostel 01 - Owner 01,1,101,2 sharing,room-hostel-01-101-bed-1,Bed 1,cash,
T10002,First2 Last2,Father 2,1995-05-03,9870000002,tenant2@example.test,pan,ID500002,EC 2,mother,9760000002,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-01,Hostel 01 - Owner 01,1,102,2 sharing,room-hostel-01-102-bed-1,Bed 1,online,TXN000002
T10003,First3 Last3,Father 3,1995-05-04,9870000003,tenant3@example.test,driving_licence,ID500003,EC 3,friend,9760000003,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-01,Hostel 01 - Owner 01,1,103,3 sharing,room-hostel-01-103-bed-1,Bed 1,upi,TXN000003
T10004,First4 Last4,Father 4,1995-05-05,9870000004,tenant4@example.test,aadhar,ID500004,EC 4,sibling,9760000004,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-01,Hostel 01 - Owner 01,2,201,2 sharing,room-hostel-01-201-bed-1,Bed 1,cash,
T10005,First5 Last5,Father 5,1995-05-06,9870000005,tenant5@example.test,pan,ID500005,EC 5,father,9760000005,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-01,Hostel 01 - Owner 01,2,202,2 sharing,room-hostel-01-202-bed-1,Bed 1,online,TXN000005
T10006,First6 Last6,Father 6,1995-05-07,9870000006,tenant6@example.test,driving_licence,ID500006,EC 6,mother,9760000006,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-02,Hostel 02 - Owner 02,1,101,2 sharing,room-hostel-02-101-bed-1,Bed 1,cash,
T10007,First7 Last7,Father 7,1995-05-08,9870000007,tenant7@example.test,aadhar,ID500007,EC 7,friend,9760000007,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-02,Hostel 02 - Owner 02,1,102,2 sharing,room-hostel-02-102-bed-1,Bed 1,online,TXN000007
T10008,First8 Last8,Father 8,1995-05-09,9870000008,tenant8@example.test,pan,ID500008,EC 8,sibling,9760000008,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-02,Hostel 02 - Owner 02,1,103,3 sharing,room-hostel-02-103-bed-1,Bed 1,upi,TXN000008
T10009,First9 Last9,Father 9,1995-05-10,9870000009,tenant9@example.test,driving_licence,ID500009,EC 9,father,9760000009,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-02,Hostel 02 - Owner 02,2,201,2 sharing,room-hostel-02-201-bed-1,Bed 1,cash,
T10010,First10 Last10,Father 10,1995-05-11,9870000010,tenant10@example.test,aadhar,ID500010,EC 10,mother,9760000010,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-02,Hostel 02 - Owner 02,2,202,2 sharing,room-hostel-02-202-bed-1,Bed 1,online,TXN000010
T10011,First11 Last11,Father 11,1995-05-12,9870000011,tenant11@example.test,pan,ID500011,EC 11,friend,9760000011,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-03,Hostel 03 - Owner 03,1,101,2 sharing,room-hostel-03-101-bed-1,Bed 1,upi,TXN000011
T10012,First12 Last12,Father 12,1995-05-13,9870000012,tenant12@example.test,driving_licence,ID500012,EC 12,sibling,9760000012,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-03,Hostel 03 - Owner 03,1,102,3 sharing,room-hostel-03-102-bed-1,Bed 1,cash,
T10013,First13 Last13,Father 13,1995-05-14,9870000013,tenant13@example.test,aadhar,ID500013,EC 13,father,9760000013,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-03,Hostel 03 - Owner 03,1,103,2 sharing,room-hostel-03-103-bed-1,Bed 1,online,TXN000013
T10014,First14 Last14,Father 14,1995-05-15,9870000014,tenant14@example.test,pan,ID500014,EC 14,mother,9760000014,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-03,Hostel 03 - Owner 03,2,201,2 sharing,room-hostel-03-201-bed-1,Bed 1,upi,TXN000014
T10015,First15 Last15,Father 15,1995-05-16,9870000015,tenant15@example.test,driving_licence,ID500015,EC 15,friend,9760000015,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-03,Hostel 03 - Owner 03,2,202,2 sharing,room-hostel-03-202-bed-1,Bed 1,cash,
T10016,First16 Last16,Father 16,1995-05-17,9870000016,tenant16@example.test,aadhar,ID500016,EC 16,sibling,9760000016,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-04,Hostel 04 - Owner 04,1,101,2 sharing,room-hostel-04-101-bed-1,Bed 1,online,TXN000016
T10017,First17 Last17,Father 17,1995-05-18,9870000017,tenant17@example.test,pan,ID500017,EC 17,father,9760000017,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-04,Hostel 04 - Owner 04,1,102,2 sharing,room-hostel-04-102-bed-1,Bed 1,upi,TXN000017
T10018,First18 Last18,Father 18,1995-05-19,9870000018,tenant18@example.test,driving_licence,ID500018,EC 18,mother,9760000018,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-04,Hostel 04 - Owner 04,1,103,3 sharing,room-hostel-04-103-bed-1,Bed 1,cash,
T10019,First19 Last19,Father 19,1995-05-20,9870000019,tenant19@example.test,aadhar,ID500019,EC 19,friend,9760000019,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-04,Hostel 04 - Owner 04,2,201,2 sharing,room-hostel-04-201-bed-1,Bed 1,online,TXN000019
T10020,First20 Last20,Father 20,1995-05-21,9870000020,tenant20@example.test,pan,ID500020,EC 20,sibling,9760000020,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-04,Hostel 04 - Owner 04,2,202,2 sharing,room-hostel-04-202-bed-1,Bed 1,upi,TXN000020
